Genes	Uniprot	Protein	Color	RT_Exp1_affinity	RT_Exp2_affinity	RT_Exp3_affinity	EN_Exp1_affinity	EN_Exp2_affinity	EN_Exp3_affinity	RT_Avg_affinity	ENDO_Avg_affinity	Adjusted_P-value	RT_vs_WT_Adjusted_P-value	EN_vs_WT_Adjusted_P-value
NT5DC2	Q9H857	5'-nucleotidase domain-containing protein 2	grey	NA	0.368748	0.334195	NA	0.233883	0.249949	NA	NA	NA	NA	NA
NOL11	Q9H8H0	Nucleolar protein 11	grey	0.465039	0.43144	0.474459	0.605074	0.591335	0.557131	NA	NA	NA	NA	NA
CASC3	O15234	Protein CASC3	grey	0.178013	0.287648	0.327125	0.480749	0.49412	0.492184	NA	NA	NA	NA	NA
WDR6	Q9NNW5	WD repeat-containing protein 6	grey	0.431797	0.427827	0.40994	0.315381	0.309104	0.314962	NA	NA	NA	NA	NA
DDX21	Q9NR30	Nucleolar RNA helicase 2	grey	0.48254	0.464741	0.47809	0.566217	0.530054	0.510536	NA	NA	NA	NA	NA
PPM1G	O15355	Protein phosphatase 1G	grey	NA	0.551381	0.523097	0.329677	0.359269	0.387055	NA	NA	NA	NA	NA
STAU2	Q9NUL3	Double-stranded RNA-binding protein Staufen homolog 2	grey	NA	0.360019	0.422485	NA	0.506143	0.478075	NA	NA	NA	NA	NA
EIF3D	O15371	Eukaryotic translation initiation factor 3 subunit D	grey	0.471827	0.488775	0.447739	0.303283	0.325576	0.343954	NA	NA	NA	NA	NA
ATAD3A	Q9NVI7	ATPase family AAA domain-containing protein 3A	grey	0.348334	0.357992	0.335087	0.29425	0.30214	0.310618	NA	NA	NA	NA	NA
DDX18	Q9NVP1	ATP-dependent RNA helicase DDX18	grey	0.413777	0.397567	NA	0.712488	0.631834	NA	NA	NA	NA	NA	NA
RBM28	Q9NW13	RNA-binding protein 28	grey	0.422455	0.358929	0.414016	0.505334	0.632325	0.624417	NA	NA	NA	NA	NA
BCLAF1	Q9NYF8	Bcl-2-associated transcription factor 1	grey	0.127103	0.077082	0.28341	0.19452	0.234403	NA	NA	NA	NA	NA	NA
FAM120A	Q9NZB2	Constitutive coactivator of PPAR-gamma-like protein 1	grey	0.450892	0.4672	0.510538	0.495549	0.505281	0.524328	NA	NA	NA	NA	NA
IGF2BP1	Q9NZI8	Insulin-like growth factor 2 mRNA-binding protein 1	grey	0.343151	0.305386	0.343507	0.532458	0.529723	0.54033	NA	NA	NA	NA	NA
HACD3	Q9P035	Very-long-chain	grey	0.432285	0.461001	NA	0.275349	0.315698	0.325849	NA	NA	NA	NA	NA
LARS	Q9P2J5	Leucine--tRNA ligase, cytoplasmic	grey	0.486548	0.50142	0.515167	0.322562	0.362474	0.350756	NA	NA	NA	NA	NA
DNAJB11	Q9UBS4	DnaJ homolog subfamily B member 11	grey	0.313013	0.311444	NA	NA	0.42766	0.365767	NA	NA	NA	NA	NA
PARP2	Q9UGN5	Poly [ADP-ribose] polymerase 2	grey	0.905864	0.850193	0.682819	0.692257	0.81539	0.809646	NA	NA	NA	NA	NA
MKRN1	Q9UHC7	E3 ubiquitin-protein ligase makorin-1	grey	0.26113	0.252508	0.246052	0.464244	0.531354	0.539312	NA	NA	NA	NA	NA
DHX15	O43143	Pre-mRNA-splicing factor ATP-dependent RNA helicase DHX15	grey	0.42973	0.406922	0.488708	0.384446	0.391182	0.427153	NA	NA	NA	NA	NA
PJA2	O43164	E3 ubiquitin-protein ligase Praja-2	grey	0.487201	0.433535	0.469235	NA	0.401336	0.457536	NA	NA	NA	NA	NA
SLC25A13	Q9UJS0	Calcium-binding mitochondrial carrier protein Aralar2	grey	0.331686	0.377967	0.365287	0.316773	0.314219	0.337566	NA	NA	NA	NA	NA
STOML2	Q9UJZ1	Stomatin-like protein 2, mitochondrial	grey	NA	0.474554	0.48583	0.292651	0.289148	0.308469	NA	NA	NA	NA	NA
MRTO4	Q9UKD2	mRNA turnover protein 4 homolog	grey	0.370742	0.339025	0.372122	0.568516	0.679723	0.72439	NA	NA	NA	NA	NA
RALY	Q9UKM9	RNA-binding protein Raly	grey	0.709369	0.595571	0.737388	0.746103	0.742233	0.779366	NA	NA	NA	NA	NA
ACIN1	Q9UKV3	Apoptotic chromatin condensation inducer in the nucleus	grey	0.425895	0.400014	0.508892	0.563809	0.555779	0.653987	NA	NA	NA	NA	NA
AKAP8L	Q9ULX6	A-kinase anchor protein 8-like	grey	0.361612	0.345775	0.361576	0.311116	0.339938	0.356725	NA	NA	NA	NA	NA
PRPF19	Q9UMS4	Pre-mRNA-processing factor 19	grey	0.430037	0.480676	0.479831	0.426963	0.428111	0.439457	NA	NA	NA	NA	NA
MAGED2	Q9UNF1	Melanoma-associated antigen D2	grey	NA	0.502283	0.542799	0.353958	0.28795	0.363648	NA	NA	NA	NA	NA
PHGDH	O43175	D-3-phosphoglycerate dehydrogenase	grey	0.684111	0.654435	0.690098	0.398877	0.423041	0.428464	NA	NA	NA	NA	NA
WDR3	Q9UNX4	WD repeat-containing protein 3	grey	0.492072	0.435096	0.496324	0.624544	0.639744	0.713313	NA	NA	NA	NA	NA
PPP6R1	Q9UPN7	Serine/threonine-protein phosphatase 6 regulatory subunit 1	grey	0.360711	0.34164	0.372704	NA	0.271889	0.348199	NA	NA	NA	NA	NA
DICER1	Q9UPY3	Endoribonuclease Dicer	grey	0.262898	0.310797	0.348416	0.435496	0.450973	NA	NA	NA	NA	NA	NA
PSMD3	O43242	26S proteasome non-ATPase regulatory subunit 3	grey	0.593102	0.54187	0.596768	0.384225	0.409	0.406729	NA	NA	NA	NA	NA
PA2G4	Q9UQ80	Proliferation-associated protein 2G4	grey	NA	0.655453	0.690836	0.359423	0.383181	0.397613	NA	NA	NA	NA	NA
SMC3	Q9UQE7	Structural maintenance of chromosomes protein 3	grey	0.314038	0.365589	0.405733	0.371664	0.319948	0.381524	NA	NA	NA	NA	NA
RUVBL2	Q9Y230	RuvB-like 2	grey	0.590844	0.549924	0.6616	0.339188	0.382724	0.396905	NA	NA	NA	NA	NA
EIF3L	Q9Y262	Eukaryotic translation initiation factor 3 subunit L	grey	0.68327	0.663093	0.761262	0.386756	0.428639	0.441401	NA	NA	NA	NA	NA
RUVBL1	Q9Y265	RuvB-like 1	grey	0.573943	0.558634	0.568825	0.370733	0.393161	0.365466	NA	NA	NA	NA	NA
THRAP3	Q9Y2W1	Thyroid hormone receptor-associated protein 3	grey	0.163693	0.089834	0.287314	0.230082	0.218521	0.360078	NA	NA	NA	NA	NA
NOP58	Q9Y2X3	Nucleolar protein 58	grey	0.427814	0.388933	0.439579	0.578917	0.553232	0.561438	NA	NA	NA	NA	NA
STRAP	Q9Y3F4	Serine-threonine kinase receptor-associated protein	grey	0.613852	0.632854	0.689784	0.416144	0.453515	0.443812	NA	NA	NA	NA	NA
NOC2L	Q9Y3T9	Nucleolar complex protein 2 homolog	grey	0.412743	0.412577	0.461238	0.512073	0.511924	0.351869	NA	NA	NA	NA	NA
RPL36	Q9Y3U8	60S ribosomal protein L36	grey	0.361752	0.328914	0.387121	0.649249	0.613029	0.753936	NA	NA	NA	NA	NA
TBL2	Q9Y4P3	Transducin beta-like protein 2	grey	NA	0.791204	0.681324	NA	0.555649	0.563255	NA	NA	NA	NA	NA
LAS1L	Q9Y4W2	Ribosomal biogenesis protein LAS1L	grey	0.406271	0.361061	0.391	0.366815	0.374867	0.366141	NA	NA	NA	NA	NA
HNRNPR	O43390	Heterogeneous nuclear ribonucleoprotein R	grey	NA	0.56605	0.655896	0.476674	0.559239	0.619541	NA	NA	NA	NA	NA
YTHDF2	Q9Y5A9	YTH domain-containing family protein 2	grey	0.354104	0.400608	0.36735	0.34302	0.351367	0.403678	NA	NA	NA	NA	NA
SUPT16H	Q9Y5B9	FACT complex subunit SPT16	grey	0.572271	0.573058	0.63494	0.514887	0.511824	0.545952	NA	NA	NA	NA	NA
UTP18	Q9Y5J1	U3 small nucleolar RNA-associated protein 18 homolog	grey	0.497741	0.499638	0.530434	0.602937	0.676433	0.643564	NA	NA	NA	NA	NA
SRPRB	Q9Y5M8	Signal recognition particle receptor subunit beta	grey	NA	0.664499	0.729363	0.5799	0.512023	NA	NA	NA	NA	NA	NA
GTF3C3	Q9Y5Q9	General transcription factor 3C polypeptide 3	grey	0.344315	0.363294	0.345417	NA	0.313936	0.344968	NA	NA	NA	NA	NA
RBM8A	Q9Y5S9	RNA-binding protein 8A	grey	0.430392	0.371285	NA	0.572332	0.554509	0.603329	NA	NA	NA	NA	NA
MAGED1	Q9Y5V3	Melanoma-associated antigen D1	grey	0.456054	0.425708	0.47103	0.286431	0.396237	0.332507	NA	NA	NA	NA	NA
DYNC1LI1	Q9Y6G9	Cytoplasmic dynein 1 light intermediate chain 1	grey	NA	0.370029	0.338932	NA	0.34105	0.333178	NA	NA	NA	NA	NA
IGF2BP2	Q9Y6M1	Insulin-like growth factor 2 mRNA-binding protein 2	grey	0.322438	0.326523	0.400945	0.469662	0.477214	0.503128	NA	NA	NA	NA	NA
EPB41L2	O43491	Band 4.1-like protein 2	grey	NA	0.546903	0.592341	0.294054	0.358395	0.311504	NA	NA	NA	NA	NA
XPOT	O43592	Exportin-T	grey	0.40421	0.433628	0.43579	0.368327	0.367503	0.446887	NA	NA	NA	NA	NA
ACTN4	O43707	Alpha-actinin-4	grey	0.619996	0.581038	0.621072	0.335417	0.353656	0.367121	NA	NA	NA	NA	NA
CALU	O43852	Calumenin	grey	0.232028	0.208623	0.225349	0.205267	0.208405	0.223368	NA	NA	NA	NA	NA
RAD21	O60216	Double-strand-break repair protein rad21 homolog	grey	0.334334	0.43504	0.384002	0.438281	0.323461	0.393626	NA	NA	NA	NA	NA
MCM3AP	O60318	Germinal-center associated nuclear protein	grey	NA	0.372206	0.358044	NA	0.314281	0.330246	NA	NA	NA	NA	NA
HIST1H2BK, H2BFS, HIST1H2BD, HIST1H2BC, HIST2H2BF, HIST1H2BH, HIST1H2BA, HIST1H2BN, HIST1H2BM, HIST1H2BL	O60814, P57053, P58876, P62807, Q5QNW6, Q93079, Q96A08, Q99877, Q99879, Q99880	Histone H2B type 1-K, Histone H2B type F-S, Histone H2B type 1-D, Histone H2B type 1-C/E/F/G/I, Histone H2B type 2-F, Histone H2B type 1-H, Histone H2B type 1-A, Histone H2B type 1-N, Histone H2B type 1-M, Histone H2B type 1-L	grey	0.581485	0.566429	0.619329	0.660269	0.67053	0.711404	NA	NA	NA	NA	NA
DKC1	O60832	H/ACA ribonucleoprotein complex subunit 4	grey	0.391177	0.330035	0.444628	0.540295	0.589832	NA	NA	NA	NA	NA	NA
DNAJA2	O60884	DnaJ homolog subfamily A member 2	grey	0.348686	0.321213	0.346338	0.26967	0.299397	0.292036	NA	NA	NA	NA	NA
ZC3H11A	O75152	Zinc finger CCCH domain-containing protein 11A	grey	0.326107	0.192549	0.337736	0.550385	0.62425	NA	NA	NA	NA	NA	NA
H2AFY	O75367	Core histone macro-H2A.1	grey	0.564991	0.597658	0.634806	0.603217	0.620394	0.640587	NA	NA	NA	NA	NA
FLNB	O75369	Filamin-B	grey	0.578428	0.579263	0.541567	0.366503	0.357876	0.384732	NA	NA	NA	NA	NA
SRSF10	O75494	Serine/arginine-rich splicing factor 10	grey	0.271294	0.214013	0.388581	0.634194	0.70423	NA	NA	NA	NA	NA	NA
GMNN	O75496	Geminin	grey	0.177002	0.16791	0.191241	0.324711	0.380403	0.351119	NA	NA	NA	NA	NA
SF3B1	O75533	Splicing factor 3B subunit 1	grey	0.357562	0.421043	0.406652	0.40535	0.406603	0.439872	NA	NA	NA	NA	NA
SNRNP200	O75643	U5 small nuclear ribonucleoprotein 200 kDa helicase	grey	0.469985	0.463105	0.517207	0.465636	0.449837	0.474068	NA	NA	NA	NA	NA
NUP155	O75694	Nuclear pore complex protein Nup155	grey	NA	0.480384	0.456034	0.333681	0.281758	0.325286	NA	NA	NA	NA	NA
RSL1D1	O76021	Ribosomal L1 domain-containing protein 1	grey	0.449382	0.387554	0.42182	0.599595	0.563843	NA	NA	NA	NA	NA	NA
FARP2	O94887	FERM, ARHGEF and pleckstrin domain-containing protein 2	grey	0.30598	0.213542	0.337876	NA	0.262698	0.203843	NA	NA	NA	NA	NA
BAG2	O95816	BAG family molecular chaperone regulator 2	grey	0.258932	0.298005	0.307637	0.21926	0.247303	0.283418	NA	NA	NA	NA	NA
AIFM1	O95831	Apoptosis-inducing factor 1, mitochondrial	grey	0.352079	0.360505	0.370914	0.272557	0.304044	0.29937	NA	NA	NA	NA	NA
LDHA	P00338	L-lactate dehydrogenase A chain	grey	0.674886	0.699919	0.722146	0.352789	0.357131	0.372976	NA	NA	NA	NA	NA
GLUD1, GLUD2	P00367, P49448	Glutamate dehydrogenase 1, mitochondrial, Glutamate dehydrogenase 2, mitochondrial	grey	0.540336	0.547436	0.588014	0.251777	0.324411	0.310874	NA	NA	NA	NA	NA
LMNA	P02545	Prelamin-A/C [Cleaved into: Lamin-A/C	grey	NA	0.301416	0.353615	0.281796	0.354449	0.340254	NA	NA	NA	NA	NA
ALDOA	P04075	Fructose-bisphosphate aldolase A	grey	0.759432	0.68904	0.745719	0.317053	0.358272	0.361343	NA	NA	NA	NA	NA
GAPDH	P04406	Glyceraldehyde-3-phosphate dehydrogenase	grey	0.638927	0.664861	0.671979	0.356199	0.36535	0.364234	NA	NA	NA	NA	NA
TP53	P04637	Cellular tumor antigen p53	grey	0.423677	0.395075	0.599118	0.426379	0.494293	NA	NA	NA	NA	NA	NA
RPN1	P04843	Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit 1	grey	0.475609	0.526104	0.521392	0.300605	0.302808	0.305598	NA	NA	NA	NA	NA
RPN2	P04844	Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit 2	grey	0.485152	0.52645	0.604846	0.309162	0.327023	0.353909	NA	NA	NA	NA	NA
ATP1A1	P05023	Sodium/potassium-transporting ATPase subunit alpha-1	grey	0.371611	0.393867	0.394653	0.243224	0.277776	0.279151	NA	NA	NA	NA	NA
SLC25A5	P05141	ADP/ATP translocase 2	grey	0.379327	0.409418	0.409557	0.28956	0.321636	0.34088	NA	NA	NA	NA	NA
RPLP0, RPLP0P6	P05388, Q8NHW5	60S acidic ribosomal protein P0, 60S acidic ribosomal protein P0-like	grey	0.341223	0.318276	0.380924	0.575629	0.57117	0.605329	NA	NA	NA	NA	NA
ATP5B	P06576	ATP synthase subunit beta, mitochondrial	grey	0.596137	0.601632	0.573213	0.324247	0.33941	0.355087	NA	NA	NA	NA	NA
ENO1	P06733	Alpha-enolase	grey	0.690295	0.636126	0.706261	0.355114	0.389781	0.389117	NA	NA	NA	NA	NA
PYGL	P06737	Glycogen phosphorylase, liver form	grey	0.599421	0.313426	0.681929	0.323116	0.343273	0.330749	NA	NA	NA	NA	NA
NPM1	P06748	Nucleophosmin	grey	0.505769	0.497769	0.54219	0.483209	0.49661	0.518422	NA	NA	NA	NA	NA
LDHB	P07195	L-lactate dehydrogenase B chain	grey	0.680698	0.681577	0.711609	0.345768	0.368727	0.375917	NA	NA	NA	NA	NA
NEFL	P07196	Neurofilament light polypeptide	grey	0.282263	0.206466	0.289495	NA	0.326364	0.23831	NA	NA	NA	NA	NA
EPRS	P07814	Bifunctional glutamate/proline--tRNA ligase	grey	0.503013	0.481966	0.517793	0.332038	0.364105	0.371032	NA	NA	NA	NA	NA
HNRNPC	P07910	Heterogeneous nuclear ribonucleoproteins C1/C2	grey	0.776674	0.742188	0.854969	0.760893	0.759619	0.812843	NA	NA	NA	NA	NA
SLC3A2	P08195	4F2 cell-surface antigen heavy chain	grey	0.522006	0.437311	0.630659	0.307432	0.294056	0.326294	NA	NA	NA	NA	NA
SNRNP70	P08621	U1 small nuclear ribonucleoprotein 70 kDa	grey	0.297416	0.277629	0.320933	0.429782	0.497589	0.499597	NA	NA	NA	NA	NA
VIM	P08670	Vimentin	grey	0.438452	0.435584	0.459223	0.353708	0.406072	0.40507	NA	NA	NA	NA	NA
RPSA	P08865	40S ribosomal protein SA	grey	0.603986	0.587532	0.595081	0.444665	0.455312	0.429518	NA	NA	NA	NA	NA
HNRNPA1, HNRNPA1L2	P09651, Q32P51	Heterogeneous nuclear ribonucleoprotein A1, Heterogeneous nuclear ribonucleoprotein A1-like 2	grey	0.533351	0.484141	0.559941	0.571845	0.547582	0.556429	NA	NA	NA	NA	NA
HIST1H3D, HIST1H2AG, HIST1H2AD, HIST1H2AH, HIST1H2AJ, H2AFJ	A0A0U1RRH7, P0C0S8, P20671, Q96KK5, Q99878, Q9BTM1	Histone H2A, Histone H2A type 1, Histone H2A type 1-D, Histone H2A type 1-H, Histone H2A type 1-J, Histone H2A.J	grey	0.571935	0.557959	0.632379	0.660278	0.687371	0.727305	NA	NA	NA	NA	NA
U2AF1L5, U2AF1	P0DN76, Q01081	Splicing factor U2AF 35 kDa subunit-like protein, Splicing factor U2AF 35 kDa subunit	grey	0.657225	0.676149	0.718242	NA	0.634629	0.616116	NA	NA	NA	NA	NA
HSPD1	P10809	60 kDa heat shock protein, mitochondrial	grey	0.276513	0.287331	0.295069	0.23364	0.268067	0.272168	NA	NA	NA	NA	NA
HSPA5	P11021	78 kDa glucose-regulated protein	grey	0.320677	0.315159	0.321993	0.252218	0.248273	0.263502	NA	NA	NA	NA	NA
TOP2A	P11388	DNA topoisomerase 2-alpha	grey	0.461954	0.439506	0.462551	0.357482	0.375541	0.410791	NA	NA	NA	NA	NA
MTHFD1	P11586	C-1-tetrahydrofolate synthase, cytoplasmic	grey	0.65678	0.662683	0.64651	0.325448	0.362624	0.358446	NA	NA	NA	NA	NA
SLC25A6	P12236	ADP/ATP translocase 3	grey	NA	0.481304	0.506645	0.316985	0.33776	0.375846	NA	NA	NA	NA	NA
IMPDH2	P12268	Inosine-5'-monophosphate dehydrogenase 2	grey	0.44842	0.654355	0.661556	0.358606	0.432645	0.410851	NA	NA	NA	NA	NA
CKB	P12277	Creatine kinase B-type	grey	0.682175	0.571812	0.666769	0.430657	0.406014	0.40296	NA	NA	NA	NA	NA
XRCC6	P12956	X-ray repair cross-complementing protein 6	grey	0.710174	0.698339	0.793623	0.565456	0.584015	0.620762	NA	NA	NA	NA	NA
XRCC5	P13010	X-ray repair cross-complementing protein 5	grey	0.699655	0.665733	0.71739	0.540953	0.520535	0.566702	NA	NA	NA	NA	NA
EEF2	P13639	Elongation factor 2	grey	0.639353	0.661099	0.683418	0.362177	0.383909	0.404272	NA	NA	NA	NA	NA
PDIA4	P13667	Protein disulfide-isomerase A4	grey	NA	0.632094	0.740923	0.348512	0.34466	0.34058	NA	NA	NA	NA	NA
PLS3	P13797	Plastin-3	grey	0.569437	0.601358	0.736662	0.341287	0.395809	0.407417	NA	NA	NA	NA	NA
PKM	P14618	Pyruvate kinase PKM	grey	0.677839	0.685985	0.716018	0.323308	0.361912	0.351974	NA	NA	NA	NA	NA
HSP90B1	P14625	Endoplasmin	grey	0.630372	0.691487	0.663479	0.320785	0.360942	0.375716	NA	NA	NA	NA	NA
SNRPB, SNRPN	P14678, P63162	Small nuclear ribonucleoprotein-associated proteins B and B', Small nuclear ribonucleoprotein-associated protein N	grey	NA	0.426152	0.508422	0.599595	NA	0.559733	NA	NA	NA	NA	NA
HNRNPL	P14866	Heterogeneous nuclear ribonucleoprotein L	grey	0.494286	0.466476	0.526278	0.483068	0.539327	0.511463	NA	NA	NA	NA	NA
DARS	P14868	Aspartate--tRNA ligase, cytoplasmic	grey	NA	0.543259	0.630813	0.325042	0.367199	0.366886	NA	NA	NA	NA	NA
RPS2	P15880	40S ribosomal protein S2	grey	0.499893	0.510489	0.530613	0.37411	0.457424	0.437851	NA	NA	NA	NA	NA
ATP2A2	P16615	Sarcoplasmic/endoplasmic reticulum calcium ATPase 2	grey	0.480249	0.513636	0.512981	0.35341	0.361795	0.379261	NA	NA	NA	NA	NA
YBX3	P16989	Y-box-binding protein 3	grey	0.399605	0.299975	0.34248	0.490352	0.550318	0.5262	NA	NA	NA	NA	NA
CTPS1	P17812	CTP synthase 1	grey	NA	0.603355	0.743404	0.300195	0.38875	0.363229	NA	NA	NA	NA	NA
DDX5	P17844	Probable ATP-dependent RNA helicase DDX5	grey	NA	0.505962	0.547138	0.411001	0.452279	0.391449	NA	NA	NA	NA	NA
PFKL	P17858	ATP-dependent 6-phosphofructokinase, liver type	grey	NA	0.427983	0.38466	NA	0.292946	0.323026	NA	NA	NA	NA	NA
PSMC3	P17980	26S proteasome regulatory subunit 6A	grey	NA	0.522527	0.458682	0.358841	0.32336	0.355489	NA	NA	NA	NA	NA
TCP1	P17987	T-complex protein 1 subunit alpha	grey	0.554571	0.510003	0.534575	0.292231	0.313458	0.326355	NA	NA	NA	NA	NA
RPL7	P18124	60S ribosomal protein L7	grey	0.34411	0.356702	0.405455	0.624011	0.644709	0.661434	NA	NA	NA	NA	NA
SON	P18583	Protein SON	grey	0.376382	0.289963	0.382005	NA	0.329558	0.346299	NA	NA	NA	NA	NA
RPL17-C18orf32, RPL17	A0A0A6YYL6, P18621	Protein RPL17-C18orf32, 60S ribosomal protein L17	grey	0.412229	0.414743	0.436556	0.404143	0.462821	0.43128	NA	NA	NA	NA	NA
NCL	P19338	Nucleolin	grey	0.512045	0.422959	NA	0.556784	0.543194	0.548095	NA	NA	NA	NA	NA
LMNB1	P20700	Lamin-B1	grey	0.292088	0.275785	0.313364	0.261826	0.289959	0.303454	NA	NA	NA	NA	NA
FLNA	P21333	Filamin-A	grey	0.397868	0.480384	0.522431	0.374018	0.353905	0.371126	NA	NA	NA	NA	NA
FBL	P22087	rRNA 2'-O-methyltransferase fibrillarin	grey	0.409481	0.385484	0.40007	0.540038	0.555113	0.519821	NA	NA	NA	NA	NA
GART	P22102	Trifunctional purine biosynthetic protein adenosine-3 [Includes: Phosphoribosylamine--glycine ligase	grey	0.607177	0.627956	0.627315	0.332523	0.372173	0.385003	NA	NA	NA	NA	NA
UBA1	P22314	Ubiquitin-like modifier-activating enzyme 1	grey	0.696291	0.678515	0.688524	0.326211	0.364122	0.36307	NA	NA	NA	NA	NA
HNRNPA2B1	P22626	Heterogeneous nuclear ribonucleoproteins A2/B1	grey	0.259642	0.192472	0.234459	0.520091	0.579254	0.573037	NA	NA	NA	NA	NA
RPS3	P23396	40S ribosomal protein S3	grey	0.431804	0.43879	0.51802	0.43524	0.443849	0.429716	NA	NA	NA	NA	NA
ATP5A1	P25705	ATP synthase subunit alpha, mitochondrial	grey	0.565126	0.599002	0.629768	0.30093	0.351415	0.352521	NA	NA	NA	NA	NA
ORF2	O00370		grey	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	NA	1	1
RPL13	P26373	60S ribosomal protein L13	grey	0.367978	0.3957	0.440046	0.554587	0.605786	0.575366	NA	NA	NA	NA	NA
PTBP1	P26599	Polypyrimidine tract-binding protein 1	grey	0.511488	0.570346	0.596047	NA	0.503817	0.530066	NA	NA	NA	NA	NA
TARS	P26639	Threonine--tRNA ligase, cytoplasmic	grey	0.610023	0.677031	0.652628	0.597173	0.406173	0.400453	NA	NA	NA	NA	NA
EEF1G	P26641	Elongation factor 1-gamma	grey	0.561983	0.574713	0.58768	0.372165	0.392309	0.399149	NA	NA	NA	NA	NA
RPL10	P27635	60S ribosomal protein L10	grey	0.376969	0.444608	0.459364	0.419565	0.478278	0.491793	NA	NA	NA	NA	NA
RPA1	P27694	Replication protein A 70 kDa DNA-binding subunit	grey	0.73043	0.723318	0.807464	0.609196	0.596418	0.610503	NA	NA	NA	NA	NA
CAD	P27708	CAD protein [Includes: Glutamine-dependent carbamoyl-phosphate synthase	grey	0.505645	0.508236	0.521066	0.325811	0.360981	0.35954	NA	NA	NA	NA	NA
CANX	P27824	Calnexin	grey	0.494478	0.570488	0.693893	0.320223	0.351765	0.361609	NA	NA	NA	NA	NA
TKT	P29401	Transketolase	grey	0.711541	0.647591	0.758229	0.308905	0.338961	0.344659	NA	NA	NA	NA	NA
RPL12	P30050	60S ribosomal protein L12	grey	0.330989	0.332705	0.371398	0.610071	0.646775	0.67621	NA	NA	NA	NA	NA
PDIA3	P30101	Protein disulfide-isomerase A3	grey	NA	0.567671	0.789651	NA	0.389836	0.38921	NA	NA	NA	NA	NA
PPP2R1A	P30153	Serine/threonine-protein phosphatase 2A 65 kDa regulatory subunit A alpha isoform	grey	0.510832	0.527356	NA	0.276347	0.389479	0.411172	NA	NA	NA	NA	NA
DNAJA1	P31689	DnaJ homolog subfamily A member 1	grey	0.332273	0.339357	0.365246	0.251797	0.277674	0.290804	NA	NA	NA	NA	NA
ATIC	P31939	Bifunctional purine biosynthesis protein PURH [Cleaved into: Bifunctional purine biosynthesis protein PURH, N-terminally processed] [Includes: Phosphoribosylaminoimidazolecarboxamide formyltransferase	grey	0.695969	0.576321	NA	0.362584	0.413164	0.421215	NA	NA	NA	NA	NA
HNRNPH3	P31942	Heterogeneous nuclear ribonucleoprotein H3	grey	0.446073	0.345108	0.498155	0.621972	0.665023	0.569242	NA	NA	NA	NA	NA
HNRNPH1	P31943	Heterogeneous nuclear ribonucleoprotein H	grey	0.404429	0.396614	0.405521	0.496687	0.521893	0.522957	NA	NA	NA	NA	NA
MCM4	P33991	DNA replication licensing factor MCM4	grey	NA	0.59894	0.687293	NA	0.474206	0.490345	NA	NA	NA	NA	NA
MCM7	P33993	DNA replication licensing factor MCM7	grey	NA	0.572883	0.609297	0.542101	0.497526	0.50492	NA	NA	NA	NA	NA
HSPA4	P34932	Heat shock 70 kDa protein 4	grey	0.676493	0.672043	0.707863	0.331154	0.357312	0.313312	NA	NA	NA	NA	NA
PHB	P35232	Prohibitin	grey	NA	0.673221	0.595262	0.253058	0.315396	0.294195	NA	NA	NA	NA	NA
RFC1	P35251	Replication factor C subunit 1	grey	0.790953	0.650763	0.707919	0.537844	0.541652	0.553374	NA	NA	NA	NA	NA
MYH9	P35579	Myosin-9	grey	0.464818	0.527032	0.525688	0.280734	0.344683	0.340476	NA	NA	NA	NA	NA
MYH10	P35580	Myosin-10	grey	0.474414	0.503452	0.473255	0.317171	0.324661	0.341301	NA	NA	NA	NA	NA
COPB2	P35606	Coatomer subunit beta'	grey	0.473684	0.589383	0.620427	0.374921	0.389505	0.39383	NA	NA	NA	NA	NA
NUP214	P35658	Nuclear pore complex protein Nup214	grey	NA	0.41445	0.424496	NA	0.340263	0.337718	NA	NA	NA	NA	NA
PSMC2	P35998	26S proteasome regulatory subunit 7	grey	0.5579	0.528086	0.609297	0.340278	0.364122	0.382036	NA	NA	NA	NA	NA
ATP5C1	P36542	ATP synthase subunit gamma, mitochondrial	grey	0.423664	0.442607	0.408387	0.320336	0.308009	0.29702	NA	NA	NA	NA	NA
RPL4	P36578	60S ribosomal protein L4	grey	0.342329	0.335865	0.389538	0.57586	0.580631	0.592985	NA	NA	NA	NA	NA
HSPA9	P38646	Stress-70 protein, mitochondrial	grey	0.282456	0.27054	0.282164	0.21364	0.202362	0.213487	NA	NA	NA	NA	NA
EIF4A3	P38919	Eukaryotic initiation factor 4A-III	grey	0.449348	0.419913	0.454984	0.563055	0.577389	0.599847	NA	NA	NA	NA	NA
RPL3	P39023	60S ribosomal protein L3	grey	0.346817	0.350101	0.38456	0.613075	0.641181	0.659574	NA	NA	NA	NA	NA
CCT6A	P40227	T-complex protein 1 subunit zeta	grey	0.547158	0.564197	0.590126	0.303959	0.32869	0.332606	NA	NA	NA	NA	NA
RPL13A	P40429	60S ribosomal protein L13a	grey	0.350528	0.361827	0.410691	0.589308	0.610102	0.610758	NA	NA	NA	NA	NA
MDH2	P40926	Malate dehydrogenase, mitochondrial	grey	0.603746	0.675871	0.737238	0.256049	0.329039	0.310065	NA	NA	NA	NA	NA
